ID,Inizio (YYYY-MM-DD h:min:s),Inizio (DD/MM/YYYY),Fine (YYYY-MM-DD h:min:s),Fine (DD/MM/YYYY),Year,Value (μg.m-3),Comune,Indirizzo,Air Quality Station Area,Latitudine,Longitudine,EOL Code stazione,Tipo stazione,Provincia,Provincia (nome completo),Regione,Area,Area (macro)
SPO.IT2274A_20_GC-FID_2016-06-16_00:00:00,2019-12-17 7:00:00,17/12/2019,2019-12-17 8:00:00,17/12/2019,2019,"34,59",Porto Empedocle,"Via Spinola, 16, 92014 Porto Empedocle AG, Italy",suburban,"37,29189","13,53254",IT2274A,fondo,AG,Agrigento,Sicilia,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-07-22 21:00:00,22/07/2021,2021-07-22 22:00:00,22/07/2021,2021,"34,565",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2107A_20_GC-PID_2012-01-01_00:00:00,2020-08-09 15:00:00,09/08/2020,2020-08-09 16:00:00,09/08/2020,2020,"34,56",Cairo Montenotte,"Corso Stalingrado, 4/14, 17014 Cairo Montenotte SV, Italy",suburban,"44,38325","8,28380",IT2107A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2019-06-09 20:00:00,09/06/2019,2019-06-09 21:00:00,09/06/2019,2019,"34,53",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT1940A_20_GC-PID_2009-03-01_00:00:00,2017-08-04 3:00:00,04/08/2017,2017-08-04 4:00:00,04/08/2017,2017,"34,53",Locri,"Traversa 1 Via Benevento, 12, 89044 Locri RC, Italy",urban,"38,22976","16,25518",IT1940A,fondo,RC,Reggio Calabria,Calabria,Sud,Sud e isole
SPO.IT2107A_20_GC-PID_2012-01-01_00:00:00,2015-12-29 12:00:00,29/12/2015,2015-12-29 13:00:00,29/12/2015,2015,"34,53",Cairo Montenotte,"Corso Stalingrado, 4/14, 17014 Cairo Montenotte SV, Italy",suburban,"44,38325","8,28380",IT2107A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2018-01-06 20:00:00,06/01/2018,2018-01-06 21:00:00,06/01/2018,2018,"34,52693",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2016-10-21 20:00:00,21/10/2016,2016-10-21 21:00:00,21/10/2016,2016,"34,525116",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2021-08-26 22:00:00,26/08/2021,2021-08-26 23:00:00,26/08/2021,2021,"34,5037",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1822A_20_GC-FID_2009-07-01_00:00:00,2013-12-20 11:00:00,20/12/2013,2013-12-20 12:00:00,20/12/2013,2013,"34,49",Andria,"Via Solferino, 109, 76123 Andria BT, Italy",urban,"41,23167","16,29167",IT1822A,traffico,BT,Barletta-Andria-Trani,Puglia,Sud,Sud e isole
SPO.IT2108A_20_GC-PID_2012-01-01_00:00:00,2020-01-11 8:00:00,11/01/2020,2020-01-11 9:00:00,11/01/2020,2020,"34,44",Bragno,"Via Sergio Scaiola, 7, 17014 Bragno SV, Italy",suburban,"44,37494","8,29868",IT2108A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2019-06-15 3:00:00,15/06/2019,2019-06-15 4:00:00,15/06/2019,2019,"34,4149",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2107A_20_GC-PID_2012-01-01_00:00:00,2015-12-29 21:00:00,29/12/2015,2015-12-29 22:00:00,29/12/2015,2015,"34,41",Cairo Montenotte,"Corso Stalingrado, 4/14, 17014 Cairo Montenotte SV, Italy",suburban,"44,38325","8,28380",IT2107A,industriale,SV,Savona,Liguria,Nord-ovest,Nord
SPO.IT2087A_20_GC-PID_2014-10-14_00:00:00,2018-01-24 20:00:00,24/01/2018,2018-01-24 21:00:00,24/01/2018,2018,"34,4",Lamezia Terme,"Via Perugini, Lamezia Terme, CZ 88046, 88046 Lamezia Terme CZ, Italy",suburban,"38,95955","16,29517",IT2087A,fondo,CZ,Catanzaro,Calabria,Sud,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2017-12-24 18:00:00,24/12/2017,2017-12-24 19:00:00,24/12/2017,2017,"34,4",San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT2227A_20_GC-PID_2015-05-01_00:00:00,2019-12-06 21:00:00,06/12/2019,2019-12-06 22:00:00,06/12/2019,2019,"34,4",Avellino,"Via Piave, 11, 83100 Avellino AV, Italy",urban,"40,91882","14,78553",IT2227A,traffico,AV,Avellino,Campania,Sud,Sud e isole
SPO.IT2271A_20_GC-PID_2016-04-22_00:00:00,2018-03-09 3:00:00,09/03/2018,2018-03-09 4:00:00,09/03/2018,2018,"34,4",Aversa,"Murale artistico, Via Ettore Corcioni, 86, 81031 Aversa CE, Italy",urban,"40,97548","14,21140",IT2271A,traffico,CE,Caserta,Campania,Sud,Sud e isole
SPO.IT2274A_20_GC-FID_2016-06-16_00:00:00,2019-12-14 22:00:00,14/12/2019,2019-12-14 23:00:00,14/12/2019,2019,"34,38",Porto Empedocle,"Via Spinola, 16, 92014 Porto Empedocle AG, Italy",suburban,"37,29189","13,53254",IT2274A,fondo,AG,Agrigento,Sicilia,Isole,Sud e isole
